matchId,attemptId,cornerId,team,concededBy,time,sortableTime
32683310,,1,FC Bayern München,Dani Alves,90:00 +1:02,5462
32683310,21,20,FC Bayern München,Gerard Piqué,77:59,4679
32683310,75,74,FC Bayern München,Marc-André ter Stegen,37:28,2248
32683310,93,92,FC Bayern München,Marc-André ter Stegen,18:23,1103
32683310,107,106,FC Bayern München,Gerard Piqué,6:21,381
32683310,109,108,Barcelona,Manuel Neuer,4:31,271
32683303,129,128,Real Madrid,Stephan Lichtsteiner,82:08,4928
32683303,,131,Real Madrid,Arturo Vidal,79:52,4792
32683303,136,135,Real Madrid,Arturo Vidal,74:30,4470
32683303,166,165,Real Madrid,Gianluigi Buffon,40:55,2455
32683303,,172,Juventus,Gareth Bale,36:25,2185
32683303,,173,Juventus,Daniel Carvajal,35:42,2142
32683303,178,177,Juventus,Sergio Ramos,31:51,1911
32683303,184,183,Real Madrid,Stephan Lichtsteiner,29:01,1741
32683303,,185,Real Madrid,Leonardo Bonucci,28:32,1712
32683303,,186,Juventus,Daniel Carvajal,27:39,1659
32683303,196,195,Real Madrid,Gianluigi Buffon,19:44,1184
32683303,,198,Juventus,Sergio Ramos,15:40,940
32683303,202,201,Real Madrid,Arturo Vidal,10:28,628
32683303,,207,Juventus,Daniel Carvajal,3:23,203
32384894,234,233,Real Madrid,Jan Oblak,82:40,4960
32384894,237,236,Real Madrid,Jan Oblak,79:30,4770
32384894,259,258,Atlético de Madrid,Raphael Varane,62:35,3755
32384894,263,262,Atlético de Madrid,Fábio Coentrão,60:31,3631
32384894,265,264,Atlético de Madrid,Raphael Varane,59:48,3588
32384894,,266,Real Madrid,Tiago,58:04,3484
32384894,,271,Real Madrid,Tiago,51:28,3088
32384894,273,272,Real Madrid,Jesús Gámez,51:00,3060
32384894,283,282,Real Madrid,Jan Oblak,43:50,2630
32384894,,284,Real Madrid,Juanfran,42:27,2547
32384894,296,295,Real Madrid,Mario Mandzukic,32:02,1922
32384894,298,297,Real Madrid,Arda Turan,31:44,1904
32384894,303,302,Real Madrid,Juanfran,30:10,1810
32384894,,314,Atlético de Madrid,Daniel Carvajal,20:03,1203
31816155,335,334,FC Bayern München,Andriy Pyatov,90:00 +0:51,5451
31816155,342,341,Shakhtar Donetsk,Dante,86:03,5163
31816155,359,358,FC Bayern München,Andriy Pyatov,61:40,3700
31816155,,363,Shakhtar Donetsk,Holger Badstuber,54:58,3298
31816155,,371,FC Bayern München,Darijo Srna,47:39,2859
31816155,,396,FC Bayern München,Alex Teixeira,31:07,1867
31816155,405,404,FC Bayern München,Darijo Srna,23:36,1416
31816155,,407,FC Bayern München,Darijo Srna,20:48,1248
31816155,,413,FC Bayern München,Yaroslav Rakitskiy,13:40,820
31816155,417,416,FC Bayern München,Andriy Pyatov,11:38,698
31816155,,418,FC Bayern München,Darijo Srna,10:11,611
31816155,424,423,Shakhtar Donetsk,Thomas Müller,5:27,327
31816155,,425,Shakhtar Donetsk,Mario Götze,5:05,305
