matchId,foulId,time,foulLocation,fouledPlayer,fouledPlayerTeam,foulingPlayer,foulingPlayerTeam,sortableTime
28278531,2,90:00 +1:37,in the defensive half.,Zato,KR Reykjavík,Mikael Lustig,Celtic,5497
28278531,7,88:50,in the defensive half.,Emilio Izaguirre,Celtic,Jónas Saevarsson,KR Reykjavík,5330
28278531,11,84:53,in the defensive half.,Haukur Heidar Hauksson,KR Reykjavík,Derk Boerrigter,Celtic,5093
28278531,44,56:18,in the attacking half.,Kris Commons,Celtic,Baldur Sigurdsson,KR Reykjavík,3378
28278531,47,49:43,in the attacking half.,Gonzalo Lorenzo Balbi,KR Reykjavík,Charlie Mulgrew,Celtic,2983
28278531,54,46:04,in the defensive half.,Virgil van Dijk,Celtic,Emil Atlason,KR Reykjavík,2764
28278531,60,36:58,in the defensive half.,Gonzalo Lorenzo Balbi,KR Reykjavík,Stefan Johansen,Celtic,2218
28278531,64,31:42,in the defensive half.,Emilio Izaguirre,Celtic,Haukur Heidar Hauksson,KR Reykjavík,1902
28278531,66,29:57,in the attacking half.,Anthony Stokes,Celtic,Baldur Sigurdsson,KR Reykjavík,1797
28278531,67,28:54,on the left wing.,Gonzalo Lorenzo Balbi,KR Reykjavík,Efe Ambrose,Celtic,1734
28278531,71,26:11,in the defensive half.,Aron Bjarki Jósepsson,KR Reykjavík,Anthony Stokes,Celtic,1571
28278531,74,25:53,in the defensive half.,Charlie Mulgrew,Celtic,Emil Atlason,KR Reykjavík,1553
28278531,76,24:46,in the attacking half.,Stefan Johansen,Celtic,Baldur Sigurdsson,KR Reykjavík,1486
28278531,80,19:54,in the defensive half.,Virgil van Dijk,Celtic,Emil Atlason,KR Reykjavík,1194
28278531,81,17:21,on the left wing.,Gary Martin,KR Reykjavík,Stefan Johansen,Celtic,1041
28278531,87,15:00,on the right wing.,Kris Commons,Celtic,Baldur Sigurdsson,KR Reykjavík,900
28278531,88,11:16,in the defensive half.,Baldur Sigurdsson,KR Reykjavík,Mikael Lustig,Celtic,676
28278531,93,9:29,in the defensive half.,Mikael Lustig,Celtic,Emil Atlason,KR Reykjavík,569
28278531,96,7:57,in the defensive half.,Gonzalo Lorenzo Balbi,KR Reykjavík,Charlie Mulgrew,Celtic,477
28278531,99,2:24,in the attacking half.,Callum McGregor,Celtic,Kjartan Finnbogason,KR Reykjavík,144
28508318,109,87:21,in the attacking half.,Tomasz Brzyski,Legia Warsaw,Beram Kayal,Celtic,5241
28508318,119,82:11,in the attacking half.,Ondrej Duda,Legia Warsaw,Stefan Johansen,Celtic,4931
28508318,121,82:00,in the defensive half.,Ivica Vrdoljak,Legia Warsaw,Beram Kayal,Celtic,4920
