matchId,subId,team,on,off,time,sortableTime
32683310,5,FC Bayern München,Mario Götze,Thomas Müller,86:52,5212
32683310,6,FC Bayern München,Javi Martínez,Bastian Schweinsteiger,86:41,5201
32683310,27,Barcelona,Xavi,Andrés Iniesta,74:07,4447
32683310,29,Barcelona,Jeremy Mathieu,Ivan Rakitic,71:04,4264
32683310,33,FC Bayern München,Sebastian Rode,Philipp Lahm,67:19,4039
32683310,59,Barcelona,Pedro,Luis Suárez,45:00,2700
32683303,121,Juventus,Roberto Pereyra,Paul Pogba,88:09,5289
32683303,126,Juventus,Fernando Llorente,Álvaro Morata,83:39,5019
32683303,132,Juventus,Andrea Barzagli,Andrea Pirlo,78:47,4727
32683303,143,Real Madrid,Javier Hernández,Karim Benzema,66:06,3966
